,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage
101,2003-06-30,68.9903,0.0107,,2356.9062,,3527.4472,1170.5410002001831,0.33183799326611696
102,2003-07-31,70.234,0.018,,2399.3948,,3527.4472,1128.0524233989267,0.3197928585292295
103,2003-08-29,71.6826,0.0206,,2448.8843,,3527.4472,1078.5628717378945,0.3057630095038402
104,2003-09-30,70.9023,-0.0109,,2422.2252,,3527.4472,1105.2220187576117,0.31332064127213916
105,2003-10-31,74.6974,0.0535,,2551.8792,,3527.4472,975.567995325739,0.27656487539366686
106,2003-11-28,75.5132,0.0109,,2579.7486,,3527.4472,947.698615548858,0.2686641533709868
107,2003-12-31,79.3132,0.0503,,2709.5687,,3527.4472,817.8784858689105,0.231861297844206
108,2004-01-30,80.8813,0.0198,,2763.1368,,3527.4472,764.3103508686122,0.21667520661077852
109,2004-02-27,81.9789,0.0136,,2800.6343,,3527.4472,726.8128706400394,0.20604500349148794
110,2004-03-31,80.8969,-0.0132,,2763.6727,,3527.4472,763.7745212509567,0.21652330366587957
111,2004-04-30,79.3663,-0.0189,,2711.3804,,3527.4472,816.0668012982301,0.23134770133433324
112,2004-05-31,80.7253,0.0171,,2757.8082,,3527.4472,769.6390054545864,0.21818583293169813
113,2004-06-30,82.2181,0.0185,,2808.8063,,3527.4472,718.6409313512522,0.20372833117140696
114,2004-07-30,79.5691,-0.0322,,2718.3103,,3527.4472,809.1369031344611,0.22938313665884527
115,2004-08-31,79.7629,0.0024,,2724.9321,,3527.4472,802.5151294214293,0.22750592253271126
116,2004-09-30,80.562,0.01,,2752.2285,,3527.4472,775.2186668370487,0.2197676174535082
117,2004-10-29,81.6,0.0129,,2787.6902,,3527.4472,739.7570056383975,0.2097145509756737
118,2004-11-30,85.232,0.0445,,2911.7704,,3527.4472,615.6767501163254,0.17453889887177484
119,2004-12-31,87.802,0.0302,,2999.568,,3527.4472,527.8792237445941,0.1496490787288309
