,date,adjClose,1 Month Change,5 Month Change,Unadjusted Equity,In Market?,Adjusted Equity,Adjusted CAGR,Unadjusted CAGR,Max Unadjusted,Max Adjusted,DD Unadjusted,DD Unadjusted Percentage,DD Adjusted,Sharpe Ratio,DD Adjusted Percentage
79,2001-08-31,78.2451,-0.0593,-0.019,2673.0777,False,2404.7708,0.1575,0.1781,3527.4472,3069.1754,854.3695222532888,0.24220618305875385,664.4045937935534,,0.21647657992878264
80,2001-09-28,71.8608,-0.0816,-0.1699,2454.9733,False,2404.7708,0.1575,0.1615,3527.4472,3069.1754,1072.4739432860256,0.30403685228400457,664.4045937935534,,0.21647657992878264
81,2001-10-31,72.7966,0.013,-0.1544,2486.9415,False,2404.7708,0.1575,0.164,3527.4472,3069.1754,1040.505674232047,0.2949741314999831,664.4045937935534,,0.21647657992878264
82,2001-11-30,78.4731,0.078,-0.0662,2680.8665,True,2592.2884,0.1721,0.1786,3527.4472,3069.1754,846.5806552712056,0.23999810834056015,476.8870267908237,,0.15537952858309229
83,2001-12-31,78.9138,0.0056,-0.0513,2695.9233,True,2606.8477,0.1731,0.1797,3527.4472,3069.1754,831.5238690000556,0.23572964295540855,462.32772988537226,,0.15063581243527896
84,2002-01-31,78.1406,-0.0098,-0.0013,2669.5065,True,2581.3037,0.1451,0.1506,3527.4472,3069.1754,857.9406856144328,0.2432185762027658,487.8717118121476,,0.15895856320630863
85,2002-02-28,76.739,-0.0179,0.0679,2621.6262,False,2581.3037,0.1451,0.1476,3527.4472,3069.1754,905.820990308433,0.25679221798371155,487.8717118121476,,0.15895856320630863
86,2002-03-29,79.29,0.0332,0.0892,2708.7763,True,2667.1133,0.1504,0.153,3527.4472,3069.1754,818.670934014443,0.23208594986607964,402.06208689085815,,0.13100003567435675
87,2002-04-30,74.6789,-0.0582,-0.0484,2551.2454,True,2512.0053,0.1406,0.1432,3527.4472,3069.1754,976.2018418787907,0.27674456527054203,557.1700545982994,,0.1815373779544497
88,2002-05-31,74.2358,-0.0059,-0.0593,2536.1072,False,2512.0053,0.1406,0.1422,3527.4472,3069.1754,991.3399562312889,0.28103608644554307,557.1700545982994,,0.1815373779544497
89,2002-06-28,68.7607,-0.0738,-0.12,2349.0623,False,2512.0053,0.1406,0.1298,3527.4472,3069.1754,1178.3848647325708,0.33406165930210685,557.1700545982994,,0.1815373779544497
90,2002-07-31,63.341,-0.0788,-0.1746,2163.91,False,2512.0053,0.1406,0.1166,3527.4472,3069.1754,1363.5371955231194,0.38655070316094864,557.1700545982994,,0.1815373779544497
91,2002-08-30,63.7718,0.0068,-0.1957,2178.6271,False,2512.0053,0.1406,0.1177,3527.4472,3069.1754,1348.8200682243282,0.3823785280823844,557.1700545982994,,0.1815373779544497
92,2002-09-30,57.0851,-0.1049,-0.2356,1950.1924,True,2248.615,0.1227,0.1001,3527.4472,3069.1754,1577.2548277246678,0.44713775665434985,820.5603927479538,,0.26735532701974407
93,2002-10-31,61.7823,0.0823,-0.1678,2110.6617,False,2248.615,0.1227,0.1126,3527.4472,3069.1754,1416.7854952354205,0.40164612392650995,820.5603927479538,,0.26735532701974407
